 DateTime,Rain,PET,EPot,EAct,W,SM,RS,RI,ExcS,ExcI,R,RObs
2012- 7- 7 10: 0: 0,     1.276,     0.161,     0.161,     0.153,   119.533,     0.932,     0.843,     4.453,     0.009,     0.806,   207.670,    29.233
2012- 7- 7 11: 0: 0,     3.184,     0.161,     0.161,     0.158,   120.348,     0.938,     0.830,     4.845,     0.309,     1.899,   190.835,    28.150
2012- 7- 7 12: 0: 0,     0.929,     0.054,     0.054,     0.054,   120.582,     0.940,     0.662,     4.924,     0.012,     0.629,   169.121,    27.067
2012- 7- 7 13: 0: 0,     0.162,     0.054,     0.054,     0.053,   120.617,     0.940,     0.519,     4.867,     0.000,     0.072,   146.855,    25.983
2012- 7- 7 14: 0: 0,     0.115,     0.054,     0.054,     0.046,   120.629,     0.940,     0.411,     4.807,     0.000,     0.049,   130.512,    24.900
2012- 7- 7 15: 0: 0,     0.318,     0.000,     0.000,     0.000,   120.695,     0.941,     0.327,     4.801,     0.000,     0.250,   120.315,    24.900
2012- 7- 7 16: 0: 0,     0.154,     0.000,     0.000,     0.000,   120.730,     0.941,     0.253,     4.766,     0.000,     0.118,   111.466,    24.900
2012- 7- 7 17: 0: 0,     0.553,     0.000,     0.000,     0.000,   120.833,     0.942,     0.189,     4.816,     0.001,     0.449,   101.775,    24.900
2012- 7- 7 18: 0: 0,     0.264,     0.000,     0.000,     0.000,   120.885,     0.942,     0.135,     4.811,     0.001,     0.211,    91.448,    24.900
2012- 7- 7 19: 0: 0,     0.011,     0.000,     0.000,     0.000,   120.887,     0.942,     0.092,     4.758,     0.000,     0.008,    81.503,    24.900
2012- 7- 7 20: 0: 0,     0.012,     0.000,     0.000,     0.000,   120.891,     0.942,     0.061,     4.708,     0.000,     0.008,    72.712,    24.900
2012- 7- 7 21: 0: 0,     0.053,     0.000,     0.000,     0.000,   120.904,     0.942,     0.039,     4.669,     0.000,     0.040,    65.325,    24.900
2012- 7- 7 22: 0: 0,     0.150,     0.000,     0.000,     0.000,   120.936,     0.943,     0.025,     4.653,     0.000,     0.117,    59.311,    24.900
2012- 7- 7 23: 0: 0,     0.042,     0.000,     0.000,     0.000,   120.947,     0.943,     0.015,     4.617,     0.000,     0.031,    54.459,    24.900
2012- 7- 8  0: 0: 0,     0.061,     0.040,     0.040,     0.037,   120.942,     0.943,     0.009,     4.583,     0.000,     0.027,    50.530,    24.900
